left_shoulder_x,left_shoulder_y,left_hip_x,left_hip_y,left_knee_x,left_knee_y
281.80707,284.2823,269.47324,374.14386,270.23026,439.24078
278.26654,283.02008,267.68512,371.9516,268.48315,438.9895
276.1203,283.0368,266.3892,372.21042,268.05655,439.7226
273.73578,282.66086,266.44583,372.14465,269.62503,439.7904
268.9225,282.0918,263.21704,370.9177,275.21255,433.33032
267.11438,282.73953,262.32886,370.31464,282.9514,426.53226
266.0873,282.93927,262.69153,368.91943,292.2232,420.64822
265.86304,283.47305,263.65524,368.4876,289.9259,425.16086
267.52127,283.80817,263.62744,372.24866,277.31323,431.26245
270.94702,283.6349,266.3972,371.63196,265.2513,433.8512
273.4426,284.33618,267.545,372.17285,264.799,434.3106
277.4334,284.53616,268.68158,372.17087,268.1489,434.88632
278.75793,284.71643,268.9669,372.224,268.81696,435.14307
280.9242,284.21487,270.06125,372.22247,268.20157,436.39755
282.33832,284.03235,271.01965,372.15643,269.33258,436.00214
283.36227,284.18323,272.73285,372.20547,270.0883,436.75385
284.28284,284.28766,272.9192,372.3843,271.24908,436.37427
284.42587,284.05087,273.3474,371.44943,271.04407,436.1758
